index,prompt,completion
,Show me all missed calls from extension 2001 today.\n,"##where(is_outbound,false)->(destination,LIKE,2001)->orWhere(is_outbound, true)->where(caller,LIKE,2001)->where(is_answered,false)->whereRaw(CAST(call_start as date) = CAST(GETDATE() as date))##"
,Get all calls from the agent 2006 today.\n,"##where(is_outbound,false)->(destination,LIKE,2006)->orWhere(is_outbound, true)->where(caller,LIKE,2006)->whereRaw(CAST(call_start as date) = CAST(GETDATE() as date))##"
,All calls from extension 8001 today\n,"##where(is_outbound,false)->(destination,LIKE,8001)->orWhere(is_outbound, true)->where(caller,LIKE,8001)->whereRaw(CAST(call_start as date) = CAST(GETDATE() as date))##"
,Give me all inbound calls from extension 1997 today in pst time\n,"##where(is_outbound,false)->where(destination,LIKE,1997)->orWhere(is_outbound, true)->where(caller,LIKE,1997)->whereRaw(call_start AT TIME ZONE 'UTC' AT TIME ZONE 'Pacific Standard Time' BETWEEN GETDATE() AND GETDATE() &#43; 1)##"
,give me all missed inbound calls.\n,"##where(is_outbound,false)->where(is_answered,false)##"
,Show me all inbound calls made after 4pm on the 15th of last month\n,"##where(is_outbound,false)->whereRaw(call_start >= DATEADD(DAY, 14,DATEADD(MONTH,DATEDIFF(MONTH, 0, GETDATE()) - 1, 0)) &#43; '16:00' )##"
,Show me a list of inbound calls where talk time was over 10 minutes.\n,"##where(is_outbound,false)->whereRaw(CAST(JSON_VALUE(talk_time, '$.minutes') as int) > 10)##"
,give me all outbound calls.\n,"##where(is_outbound,true)##"
,Give me all outbound calls from extension 1997 today in pst time.\n,"##where(is_outbound,true)->(destination,LIKE,2001)->destination,LIKE,2001)->orWhere(is_outbound, true)->where(caller,LIKE,2001)->where(is_answered,false)->whereRaw(call_start AT TIME ZONE 'UTC' AT TIME ZONE 'Pacific Standard Time' BETWEEN GETDATE() AND GETDATE() &#43; 1)##"
,Give me all missed outbound calls.\n,"##where(is_outbound,true)->where(is_answered,false)##"
,"Show me all calls made between 10 AM to 11 AM on June 1, 2023. \n","##whereBetween(call_start, ['2023-06-01 10:00:00', '2023-06-01 11:00:00'])##"
,"Give me all calls made between 11 AM to 5 PM on June 5, 2023. \n","##whereBetween(call_start, ['2023-06-05 11:00:00', '2023-06-01 17:00:00'])##"
,Provide all calls made before 5pm three days ago.\n,"##whereRaw(call_start < DATEADD(HOUR, 17, CAST(CONVERT(VARCHAR, DATEADD(DAY, -3, GETDATE()), 101) AS DATETIME)))##"
,Show me all calls made before 8am today.\n,"##whereRaw(call_start < DATEADD(HOUR, 8, CAST(CONVERT(VARCHAR, GETDATE(), 101) AS DATETIME)))##"
,Show me all calls made after 6am today\n,"##whereRaw(call_start > DATEADD(HOUR, 6, CAST(CONVERT(VARCHAR, GETDATE(), 101) AS DATETIME)))##"
,Can you show me all calls made after 1pm two weeks ago\n,"##whereRaw(call_start >= CAST(CONVERT(VARCHAR,DATEADD(DAY,-13,GETDATE()),101) AS DATETIME) &#43; '13:00')##"
,I want all calls made after 9pm two days ago\n,"##whereRaw(call_start >= CAST(CONVERT(VARCHAR,DATEADD(DAY,-2,GETDATE()),101) AS DATETIME) &#43; '21:00')##"
,Give me the calls made after 10am on the 12th of the previous month.\n,"##whereRaw(call_start >= DATEADD(DAY, 11,DATEADD(MONTH,DATEDIFF(MONTH, 0, GETDATE()) - 1, 0)) &#43; '10:00' )##"
,I would like to see the calls made after 12pm on the 25th of the previous month.\n,"##whereRaw(call_start >= DATEADD(DAY, 24,DATEADD(MONTH,DATEDIFF(MONTH, 0, GETDATE()) - 1, 0)) &#43; '12:00' )##"
,Can you display the calls made today in Australian Eastern Standard Time?\n,##whereRaw(call_start AT TIME ZONE 'UTC' AT TIME ZONE 'AUS Eastern Standard Time' BETWEEN GETDATE() AND GETDATE() &#43; 1)##
,Give me that displays today's calls in Central European Time (CET).\n,##whereRaw(call_start AT TIME ZONE 'UTC' AT TIME ZONE 'Central European Standard Time' BETWEEN GETDATE() AND GETDATE() &#43; 1)##
,Return today's calls in EST (Eastern Standard Time).\n,##whereRaw(call_start AT TIME ZONE 'UTC' AT TIME ZONE 'Eastern Standard Time' BETWEEN GETDATE() AND GETDATE() &#43; 1)##
,I need to see all the calls received from London today.\n,##whereRaw(call_start AT TIME ZONE 'UTC' AT TIME ZONE 'GMT Standard Time' BETWEEN GETDATE() AND GETDATE() &#43; 1)##
,Give me the calls of the past month in PST.\n,"##whereRaw(call_start AT TIME ZONE 'UTC' AT TIME ZONE 'Pacific Standard Time' BETWEEN DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE()) - 1, 0) AND DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE()), 0))##"
,Calls in PST (Pacific Standard Time).\n,##whereRaw(call_start AT TIME ZONE 'UTC' AT TIME ZONE 'Pacific Standard Time' BETWEEN GETDATE() AND GETDATE() &#43; 1)##
,Return all calls made between 10am and 11am today.\n,"##whereRaw(call_start between DATEADD(HOUR, 10, CAST(CONVERT(VARCHAR, GETDATE(), 101) AS DATETIME)) and DATEADD(HOUR, 11, CAST(CONVERT(VARCHAR, GETDATE(), 101) AS DATETIME)))##"
,give me please all calls made between 12pm and 1pm last Monday.\n,"##whereRaw(call_start between DATEADD(HOUR, 12, DATEADD(DAY, DATEDIFF(DAY, 0, GETDATE()) / 7 * 7, 0)) and DATEADD(HOUR, 13, DATEADD(DAY, DATEDIFF(DAY, 0, GETDATE()) / 7 * 7, 0)))##"
,Give me all calls made between 2pm and 4pm yesterday\n,"##whereRaw(call_start BETWEEN DATEADD(HOUR, 14, CAST(CONVERT(VARCHAR, DATEADD(DAY, -1, GETDATE()), 101) AS DATETIME)) AND DATEADD(HOUR, 16, CAST(CONVERT(VARCHAR, DATEADD(DAY, -1, GETDATE()), 101) AS DATETIME)))##"
,Return the calls of the past month.\n,"##whereRaw(call_start BETWEEN DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE()) - 1, 0) AND DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE()), 0))##"
,Show me calls that lasted exactly 3 minutes.\n,"##whereRaw(CAST(JSON_VALUE(talk_time, '$.minutes') as int) = 3)##"
,Display the total number of calls where talk time was exactly 5 minutes.\n,"##whereRaw(CAST(JSON_VALUE(talk_time, '$.minutes') as int) = 5)##"
,Show me calls with talk time more than 10 minutes.\n,"##whereRaw(CAST(JSON_VALUE(talk_time, '$.minutes') as int) > 10)##"
,Show me a list of calls longer than 10 minutes.\n,"##whereRaw(CAST(JSON_VALUE(talk_time, '$.minutes') as int) > 10)##"
,Give me the list of calls that lasted more than 10 minutes today in Central Standard Time.\n,"##whereRaw(call_start AT TIME ZONE 'UTC' AT TIME ZONE 'Central Standard Time' BETWEEN GETDATE() AND GETDATE() &#43; 1)->whereRaw(CAST(JSON_VALUE(talk_time, '$.minutes') as int) > 10)##"
,Show me a list of calls where talk time was over 5 minutes.\n,"##whereRaw(CAST(JSON_VALUE(talk_time, '$.minutes') as int) > 5)##"
,I want to see a list of calls longer than 5 minutes.\n,"##whereRaw(CAST(JSON_VALUE(talk_time, '$.minutes') as int) > 5)##"
,Yesterday calls where caller 4001.\n,"##where(caller,LIKE, &#37;4001&#37; )->whereRaw(CAST(call_start as date) = CAST(DATEADD(DAY, -1, GETDATE()) as date))## "
,Yesterday calls where destination 1997.\n,"##where(destination,LIKE, &#37;1997&#37; )->whereRaw(CAST(call_start as date) = CAST(DATEADD(DAY, -1, GETDATE()) as date))## "
,give me all calls where caller start with 619.\n,"##where(caller,LIKE, &#37;619&#37; )##"
,Show me missed inbound calls where destination ends with 9988.\n,"##where(is_answered,false)->where(is_outbound,false)->where(destination,LIKE, &#37;9988 )## "
,Show me all answered outbound calls from caller 1234 to destination 4324 that were made today in Central Standard Time and lasted more than 10 minutes but have no recording.\n,"##where(caller,1234)->where(destination,4324)->where(is_answered,true)->where(is_outbound,true)->whereRaw(call_start AT TIME ZONE 'UTC' AT TIME ZONE 'Central Standard Time' BETWEEN GETDATE() AND GETDATE() + 1)->whereRaw(CAST(JSON_VALUE(talk_time, '$.minutes') as int) > 10)->where(have_recording,false)## "
,Display all unanswered inbound calls from caller 5678 to destination 8765 that were made yesterday in Pacific Standard Time and lasted less than 5 minutes but have a recording.\n,"##where(caller,5678)->where(destination,8765)->where(is_answered,false)->where(is_outbound,false)->whereRaw(call_start AT TIME ZONE 'UTC' AT TIME ZONE 'Pacific Standard Time' BETWEEN DATEADD(DAY, -1, GETDATE()) AND GETDATE())->whereRaw(CAST(JSON_VALUE(talk_time, '$.minutes') as int) < 5)->where(have_recording,true)## "
,I want to see all answered outbound calls from caller 1111 to destination 2222 that were made last week in Eastern Standard Time and lasted exactly 15 minutes and have a recording.\n,"##where(caller,1111)->where(destination,2222)->where(is_answered,true)->where(is_outbound,true)->whereRaw(call_start AT TIME ZONE 'UTC' AT TIME ZONE 'Eastern Standard Time' BETWEEN DATEADD(WEEK, -1, GETDATE()) AND GETDATE())->whereRaw(CAST(JSON_VALUE(talk_time, '$.minutes') as int) = 15)->where(have_recording,true)## "
,Give me all missed calls from today in PST where caller is 8001.\n,"##where(caller,8001)->where(is_answered,false)->whereRaw(call_start AT TIME ZONE 'UTC' AT TIME ZONE 'Pacific Standard Time' BETWEEN GETDATE() AND GETDATE() + 1)## "
,Show me all outbound calls from extension 1234 that were made yesterday.\n,"##where(caller,1234)->where(is_outbound,true)->whereRaw(CAST(call_start as date) = CAST(DATEADD(DAY, -1, GETDATE()) as date))## "
,Display all inbound calls to extension 5678 that were answered and have a recording.\n,"##where(destination,5678)->where(is_outbound,false)->where(is_answered,true)->where(have_recording,true)## "
,I want to see all missed calls from extension 9012 that were made last week.\n,"##where(caller,9012)->where(is_answered,false)->whereRaw(call_start BETWEEN DATEADD(WEEK, -1, GETDATE()) AND GETDATE())## "
,Show me all calls from extension 3456 that lasted more than 20 minutes.\n,"##where(caller,3456)->whereRaw(CAST(JSON_VALUE(talk_time, '$.minutes') as int) > 20)## "
,Display all calls to extension 7890 that lasted less than 1 minute and have no recording.\n,"##where(destination,7890)->whereRaw(CAST(JSON_VALUE(talk_time, '$.minutes') as int) < 1)->where(have_recording,false)## "
,I want to see all outbound calls from extension 1122 that were made today in Central Standard Time.\n,"##where(caller,1122)->where(is_outbound,true)->whereRaw(call_start AT TIME ZONE 'UTC' AT TIME ZONE 'Central Standard Time' BETWEEN GETDATE() AND GETDATE() + 1)## "
,Show me all inbound calls to extension 3344 that were missed and made yesterday in Eastern Standard Time.\n,"##where(destination,3344)->where(is_outbound,false)->where(is_answered,false)->whereRaw(call_start AT TIME ZONE 'UTC' AT TIME ZONE 'Eastern Standard Time' BETWEEN DATEADD(DAY, -1, GETDATE()) AND GETDATE())## "
,"Display all calls from extension 5566 that were answered, have a recording, and were made last week in Pacific Standard Time.\n","##where(caller,5566)->where(is_answered,true)->where(have_recording,true)->whereRaw(call_start AT TIME ZONE 'UTC' AT TIME ZONE 'Pacific Standard Time' BETWEEN DATEADD(WEEK, -1, GETDATE()) AND GETDATE())## "
,I want to see all missed calls from extension 7788 that lasted less than 5 minutes.\n,"##where(caller,7788)->where(is_answered,false)->whereRaw(CAST(JSON_VALUE(talk_time, '$.minutes') as int) < 5)## "
,Show me all answered calls to extension 9900 that lasted more than 30 minutes and have a recording.\n,"##where(destination,9900)->where(is_answered,true)->whereRaw(CAST(JSON_VALUE(talk_time, '$.minutes') as int) > 30)->where(have_recording,true)## "
,give me all calls from today.\n,##whereRaw(CAST(call_start as date) = CAST(GETDATE() as date))## 
,Give me all calls from yesterday.\n,"##whereRaw(CAST(call_start as date) = CAST(DATEADD(DAY, -1, GETDATE()) as date))## "
,Show all calls from the day before yesterday.\n,"##whereRaw(CAST(call_start as date) = CAST(DATEADD(DAY, -2, GETDATE()) as date))## "
,Show all calls from 3 days ago.\n,"##whereRaw(CAST(call_start as date) = CAST(DATEADD(DAY, -3, GETDATE()) as date))## "
,Show all calls after 3 days ago.\n,"##whereRaw(call_start > DATEADD(DAY, -3, GETDATE()))## "
,Return all calls before 3 days ago.\n,"##whereRaw(call_start < DATEADD(DAY, -3, GETDATE()))## "
,Show inbound calls before 5 days ago.\n,"##where(is_outbound, false)->whereRaw(call_start < DATEADD(DAY, -5, GETDATE()))## "
,Show unanswered inbound calls before 10 days ago.\n,"##where(is_outbound, false)->where(is_answered, false)->whereRaw(call_start < DATEADD(DAY, -10, GETDATE()))## "
,Show unanswered inbound calls before 100 days ago in PST.\n,"##where(is_outbound, false)->where(is_answered, false)->whereRaw(call_start AT TIME ZONE 'UTC' AT TIME ZONE 'Pacific Standard Time' < DATEADD(DAY, -100, GETDATE()))## "
,Show unanswered inbound calls before 10 days ago in PST from extension 4001.\n,"##where(caller,4001)->where(is_outbound, false)->where(is_answered, false)->whereRaw(call_start AT TIME ZONE 'UTC' AT TIME ZONE 'Pacific Standard Time' < DATEADD(DAY, -10, GETDATE()))## "
